Spanish,English
de,of
no,no
a,to
la,the
el,he
es,is
y,and
en,in
lo,the
un,a
por,by
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
si,yes
bien,good
pero,but
yo,me
eso,that
las,the
sí,yes
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,plus
esto,this
ya,already
todo,everything
esta,this
vamos,we go
muy,very
hay,there is
ahora,now
algo,something
estoy,I am
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,he has
este,this
sé,I know
estás,these
así,So
puedo,may l
cómo,how
quiero,I want
sólo,alone
soy,I am
tiene,has
gracias,thanks
o,or
él,he
bueno,Okay
fue,was
ser,to be
hacer,do
son,are
todos,everyone
era,was
eres,you are
vez,time
tienes,you have
creo,I believe
he,I
voy,I go
puede,can
sabes,you know
hola,Hello
sus,their
porque,why
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,House
favor,favor
esa,that
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,truth
estaba,I was
mejor,best
están,is it so
va,goes
hombre,man
usted,you
mucho,much
hace,make
entonces,so
siento,sorry
tenemos,we have
puedes,can
ahí,there
ti,you
vida,lifetime
ver,see
alguien,someone
sr,Mr
hasta,until
sin,without
mí,me
solo,alone
años,years
sobre,on
decir,say
uno,one
siempre,forever
oh,oh
ir,to go
cosas,stuff
también,as well
antes,before
has,you
ni,neither
día,day
estar,to be
estamos,we're
noche,night
nadie,nobody
otra,other
quiere,wants
parece,It seems
nosotros,U.S
poco,little bit
padre,father
trabajo,job
gente,people
mira,look
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,said
pasa,pass
dinero,money
hijo,son
tal,such
hablar,talk
seguro,sure
claro,Clear
estas,these
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
tus,your
sabe,knows
después,then
momento,moment
desde,since
fuera,outside
tipo,type
mañana,tomorrow
podemos,we can
dije,said
gran,great
necesito,needed
estado,state
podría,might
acuerdo,agreement
papá,father
tener,to have
dice,He says
mío,Own
crees,think
buena,good
gusta,like
nuestro,our
nuevo,new
será,be
haciendo,doing
días,days
buen,good
había,there were
ven,come
tres,three
menos,less
debe,should
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
mamá,mother
tienen,they have
luego,then
todas,all
allí,there
toda,all
hora,time
visto,viewed
haces,do
importa,matters
contigo,with you
ve,go
tarde,late
oye,hears
parte,part
haber,to have
hombres,mens
problema,problem
mas,more
saber,to know
quería,wanted to
aún,yet
veces,times
cada,each
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
cierto,true
ud,You
muerto,dead
unos,some
estos,these
salir,go out
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,may
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,between
minutos,minutes
digo,I say
algún,some
serio,I laughed
cuidado,watch out
pasó,He passed
buenas,good
somos,we are
amor,love
puerta,door
ves,you see
vaya,go
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,still
hermano,brother
debes,you must
casi,almost
forma,shape
aqui,here
chico,boy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,car
camino,way
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,fear
adiós,goodbye
primero,First
debería,should
niños,children
sería,would
historia,history
hey,hey
mientras,While
ciudad,city
dijiste,said
espero,I hope
cuánto,how much
esposa,wife
pronto,soon
chicos,Boys
cualquier,any
viejo,old
debemos,we must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,crazy
problemas,problems
mano,hand
guerra,war
semana,week
pasar,pass
vale,OK
viene,comes
volver,return
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,ahead
niño,child
listo,ready
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,only
déjame,let me
cerca,close
otros,others
sigue,follow
grande,big
arriba,above
jefe,chief
habla,speaks
supongo,I suppose
manera,way
quieren,they want
feliz,happy
significa,it means
sangre,blood
fin,end
bajo,low
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,any
corazón,heart
diablos,Devils
necesitamos,we need
atrás,behind
durante,during
dices,say
nuestros,our
persona,person
abajo,down
dr,dr
hija,daughter
dejar,leave
necesita,needs to
llegar,to get
hago,I make
señora,Ms
haya,beech
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,at least
genial,great
cree,cree
supuesto,supposed
tomar,drink
equipo,team
justo,fair
juego,game
ninguna,none
matar,kill
cinco,five
dicen,say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,I know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,though
pueda,can
dime,tell me
igual,same
comida,food
ay,Oh
cuerpo,Body
encontrar,find
fuerte,strong
vuelta,return
venga,come on
creer,believe
realidad,reality
saben,they know
puta,bitch
deberías,you should
fui,I was
cuatro,four
sra,Mrs
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
